Hava_Durumu,Sicaklik,Nem,Ruzgar,Saha_Boyutu,Cim_Durumu,Futbol_Oyna
Gunesli,Sicak,Normal,Var,Kucuk,Kuru,Evet
Gunesli,Sicak,Normal,Var,Kucuk,Islak,Evet
Gunesli,Sicak,Normal,Var,Orta,Kuru,Evet
Gunesli,Sicak,Normal,Var,Orta,Islak,Hayir
Gunesli,Sicak,Normal,Var,Buyuk,Kuru,Evet
Gunesli,Sicak,Normal,Var,Buyuk,Islak,Evet
Gunesli,Sicak,Normal,Yok,Kucuk,Kuru,Evet
Gunesli,Sicak,Normal,Yok,Kucuk,Islak,Evet
Gunesli,Sicak,Normal,Yok,Orta,Kuru,Evet
Gunesli,Sicak,Normal,Yok,Orta,Islak,Evet
Gunesli,Sicak,Normal,Yok,Buyuk,Kuru,Evet
Gunesli,Sicak,Normal,Yok,Buyuk,Islak,Hayir
Gunesli,Sicak,Yuksek,Var,Kucuk,Kuru,Evet
Gunesli,Sicak,Yuksek,Var,Kucuk,Islak,Evet
Gunesli,Sicak,Yuksek,Var,Orta,Kuru,Evet
Gunesli,Sicak,Yuksek,Var,Orta,Islak,Hayir
Gunesli,Sicak,Yuksek,Var,Buyuk,Kuru,Evet
Gunesli,Sicak,Yuksek,Var,Buyuk,Islak,Hayir
Gunesli,Sicak,Yuksek,Yok,Kucuk,Kuru,Evet
Gunesli,Sicak,Yuksek,Yok,Kucuk,Islak,Evet
Gunesli,Sicak,Yuksek,Yok,Orta,Kuru,Evet
Gunesli,Sicak,Yuksek,Yok,Orta,Islak,Evet
Gunesli,Sicak,Yuksek,Yok,Buyuk,Kuru,Evet
Gunesli,Sicak,Yuksek,Yok,Buyuk,Islak,Hayir
Gunesli,Soguk,Normal,Var,Kucuk,Kuru,Hayir
Gunesli,Soguk,Normal,Var,Kucuk,Islak,Hayir
Gunesli,Soguk,Normal,Var,Orta,Kuru,Hayir
Gunesli,Soguk,Normal,Var,Orta,Islak,Evet
Gunesli,Soguk,Normal,Var,Buyuk,Kuru,Hayir
Gunesli,Soguk,Normal,Var,Buyuk,Islak,Hayir
Gunesli,Soguk,Normal,Yok,Kucuk,Kuru,Evet
Gunesli,Soguk,Normal,Yok,Kucuk,Islak,Evet
Gunesli,Soguk,Normal,Yok,Orta,Kuru,Hayir
Gunesli,Soguk,Normal,Yok,Orta,Islak,Hayir
Gunesli,Soguk,Normal,Yok,Buyuk,Kuru,Evet
Gunesli,Soguk,Normal,Yok,Buyuk,Islak,Hayir
Gunesli,Soguk,Yuksek,Var,Kucuk,Kuru,Evet
Gunesli,Soguk,Yuksek,Var,Kucuk,Islak,Hayir
Gunesli,Soguk,Yuksek,Var,Orta,Kuru,Hayir
Gunesli,Soguk,Yuksek,Var,Orta,Islak,Hayir
Gunesli,Soguk,Yuksek,Var,Buyuk,Kuru,Hayir
Gunesli,Soguk,Yuksek,Var,Buyuk,Islak,Hayir
Gunesli,Soguk,Yuksek,Yok,Kucuk,Kuru,Evet
Gunesli,Soguk,Yuksek,Yok,Kucuk,Islak,Hayir
Gunesli,Soguk,Yuksek,Yok,Orta,Kuru,Hayir
Gunesli,Soguk,Yuksek,Yok,Orta,Islak,Hayir
Gunesli,Soguk,Yuksek,Yok,Buyuk,Kuru,Hayir
Gunesli,Soguk,Yuksek,Yok,Buyuk,Islak,Hayir
Gunesli,Ilik,Normal,Var,Kucuk,Kuru,Evet
Gunesli,Ilik,Normal,Var,Kucuk,Islak,Hayir
Gunesli,Ilik,Normal,Var,Orta,Kuru,Evet
Gunesli,Ilik,Normal,Var,Orta,Islak,Hayir
Gunesli,Ilik,Normal,Var,Buyuk,Kuru,Hayir
Gunesli,Ilik,Normal,Var,Buyuk,Islak,Hayir
Gunesli,Ilik,Normal,Yok,Kucuk,Kuru,Evet
Gunesli,Ilik,Normal,Yok,Kucuk,Islak,Evet
Gunesli,Ilik,Normal,Yok,Orta,Kuru,Evet
Gunesli,Ilik,Normal,Yok,Orta,Islak,Hayir
Gunesli,Ilik,Normal,Yok,Buyuk,Kuru,Evet
Gunesli,Ilik,Normal,Yok,Buyuk,Islak,Evet
Gunesli,Ilik,Yuksek,Var,Kucuk,Kuru,Evet
Gunesli,Ilik,Yuksek,Var,Kucuk,Islak,Hayir
Gunesli,Ilik,Yuksek,Var,Orta,Kuru,Hayir
Gunesli,Ilik,Yuksek,Var,Orta,Islak,Hayir
Gunesli,Ilik,Yuksek,Var,Buyuk,Kuru,Hayir
Gunesli,Ilik,Yuksek,Var,Buyuk,Islak,Hayir
Gunesli,Ilik,Yuksek,Yok,Kucuk,Kuru,Evet
Gunesli,Ilik,Yuksek,Yok,Kucuk,Islak,Evet
Gunesli,Ilik,Yuksek,Yok,Orta,Kuru,Evet
Gunesli,Ilik,Yuksek,Yok,Orta,Islak,Hayir
Gunesli,Ilik,Yuksek,Yok,Buyuk,Kuru,Evet
Gunesli,Ilik,Yuksek,Yok,Buyuk,Islak,Hayir
Yagmurlu,Sicak,Normal,Var,Kucuk,Kuru,Evet
Yagmurlu,Sicak,Normal,Var,Kucuk,Islak,Evet
Yagmurlu,Sicak,Normal,Var,Orta,Kuru,Hayir
Yagmurlu,Sicak,Normal,Var,Orta,Islak,Hayir
Yagmurlu,Sicak,Normal,Var,Buyuk,Kuru,Hayir
Yagmurlu,Sicak,Normal,Var,Buyuk,Islak,Hayir
Yagmurlu,Sicak,Normal,Yok,Kucuk,Kuru,Evet
Yagmurlu,Sicak,Normal,Yok,Kucuk,Islak,Evet
Yagmurlu,Sicak,Normal,Yok,Orta,Kuru,Evet
Yagmurlu,Sicak,Normal,Yok,Orta,Islak,Evet
Yagmurlu,Sicak,Normal,Yok,Buyuk,Kuru,Evet
Yagmurlu,Sicak,Normal,Yok,Buyuk,Islak,Evet
Yagmurlu,Sicak,Yuksek,Var,Kucuk,Kuru,Hayir
Yagmurlu,Sicak,Yuksek,Var,Kucuk,Islak,Hayir
Yagmurlu,Sicak,Yuksek,Var,Orta,Kuru,Hayir
Yagmurlu,Sicak,Yuksek,Var,Orta,Islak,Hayir
Yagmurlu,Sicak,Yuksek,Var,Buyuk,Kuru,Hayir
Yagmurlu,Sicak,Yuksek,Var,Buyuk,Islak,Hayir
Yagmurlu,Sicak,Yuksek,Yok,Kucuk,Kuru,Evet
Yagmurlu,Sicak,Yuksek,Yok,Kucuk,Islak,Hayir
Yagmurlu,Sicak,Yuksek,Yok,Orta,Kuru,Hayir
Yagmurlu,Sicak,Yuksek,Yok,Orta,Islak,Hayir
Yagmurlu,Sicak,Yuksek,Yok,Buyuk,Kuru,Hayir
Yagmurlu,Sicak,Yuksek,Yok,Buyuk,Islak,Hayir
Yagmurlu,Soguk,Normal,Var,Kucuk,Kuru,Hayir
Yagmurlu,Soguk,Normal,Var,Kucuk,Islak,Hayir
Yagmurlu,Soguk,Normal,Var,Orta,Kuru,Hayir
Yagmurlu,Soguk,Normal,Var,Orta,Islak,Hayir
Yagmurlu,Soguk,Normal,Var,Buyuk,Kuru,Hayir
Yagmurlu,Soguk,Normal,Var,Buyuk,Islak,Hayir
Yagmurlu,Soguk,Normal,Yok,Kucuk,Kuru,Evet
Yagmurlu,Soguk,Normal,Yok,Kucuk,Islak,Evet
Yagmurlu,Soguk,Normal,Yok,Orta,Kuru,Hayir
Yagmurlu,Soguk,Normal,Yok,Orta,Islak,Hayir
Yagmurlu,Soguk,Normal,Yok,Buyuk,Kuru,Hayir
Yagmurlu,Soguk,Normal,Yok,Buyuk,Islak,Hayir
Yagmurlu,Soguk,Yuksek,Var,Kucuk,Kuru,Hayir
Yagmurlu,Soguk,Yuksek,Var,Kucuk,Islak,Hayir
Yagmurlu,Soguk,Yuksek,Var,Orta,Kuru,Hayir
Yagmurlu,Soguk,Yuksek,Var,Orta,Islak,Hayir
Yagmurlu,Soguk,Yuksek,Var,Buyuk,Kuru,Hayir
Yagmurlu,Soguk,Yuksek,Var,Buyuk,Islak,Hayir
Yagmurlu,Soguk,Yuksek,Yok,Kucuk,Kuru,Evet
Yagmurlu,Soguk,Yuksek,Yok,Kucuk,Islak,Evet
Yagmurlu,Soguk,Yuksek,Yok,Orta,Kuru,Hayir
Yagmurlu,Soguk,Yuksek,Yok,Orta,Islak,Hayir
Yagmurlu,Soguk,Yuksek,Yok,Buyuk,Kuru,Hayir
Yagmurlu,Soguk,Yuksek,Yok,Buyuk,Islak,Hayir
Yagmurlu,Ilik,Normal,Var,Kucuk,Kuru,Evet
Yagmurlu,Ilik,Normal,Var,Kucuk,Islak,Evet
Yagmurlu,Ilik,Normal,Var,Orta,Kuru,Hayir
Yagmurlu,Ilik,Normal,Var,Orta,Islak,Hayir
Yagmurlu,Ilik,Normal,Var,Buyuk,Kuru,Hayir
Yagmurlu,Ilik,Normal,Var,Buyuk,Islak,Hayir
Yagmurlu,Ilik,Normal,Yok,Kucuk,Kuru,Evet
Yagmurlu,Ilik,Normal,Yok,Kucuk,Islak,Evet
Yagmurlu,Ilik,Normal,Yok,Orta,Kuru,Hayir
Yagmurlu,Ilik,Normal,Yok,Orta,Islak,Hayir
Yagmurlu,Ilik,Normal,Yok,Buyuk,Kuru,Hayir
Yagmurlu,Ilik,Normal,Yok,Buyuk,Islak,Hayir
Yagmurlu,Ilik,Yuksek,Var,Kucuk,Kuru,Hayir
Yagmurlu,Ilik,Yuksek,Var,Kucuk,Islak,Hayir
Yagmurlu,Ilik,Yuksek,Var,Orta,Kuru,Hayir
Yagmurlu,Ilik,Yuksek,Var,Orta,Islak,Hayir
Yagmurlu,Ilik,Yuksek,Var,Buyuk,Kuru,Hayir
Yagmurlu,Ilik,Yuksek,Var,Buyuk,Islak,Hayir
Yagmurlu,Ilik,Yuksek,Yok,Kucuk,Kuru,Evet
Yagmurlu,Ilik,Yuksek,Yok,Kucuk,Islak,Evet
Yagmurlu,Ilik,Yuksek,Yok,Orta,Kuru,Hayir
Yagmurlu,Ilik,Yuksek,Yok,Orta,Islak,Hayir
Yagmurlu,Ilik,Yuksek,Yok,Buyuk,Kuru,Hayir
Yagmurlu,Ilik,Yuksek,Yok,Buyuk,Islak,Hayir
Bulutlu,Sicak,Normal,Var,Kucuk,Kuru,Evet
Bulutlu,Sicak,Normal,Var,Kucuk,Islak,Evet
Bulutlu,Sicak,Normal,Var,Orta,Kuru,Evet
Bulutlu,Sicak,Normal,Var,Orta,Islak,Hayir
Bulutlu,Sicak,Normal,Var,Buyuk,Kuru,Hayir
Bulutlu,Sicak,Normal,Var,Buyuk,Islak,Hayir
Bulutlu,Sicak,Normal,Yok,Kucuk,Kuru,Evet
Bulutlu,Sicak,Normal,Yok,Kucuk,Islak,Evet
Bulutlu,Sicak,Normal,Yok,Orta,Kuru,Evet
Bulutlu,Sicak,Normal,Yok,Orta,Islak,Evet
Bulutlu,Sicak,Normal,Yok,Buyuk,Kuru,Evet
Bulutlu,Sicak,Normal,Yok,Buyuk,Islak,Hayir
Bulutlu,Sicak,Yuksek,Var,Kucuk,Kuru,Evet
Bulutlu,Sicak,Yuksek,Var,Kucuk,Islak,Hayir
Bulutlu,Sicak,Yuksek,Var,Orta,Kuru,Hayir
Bulutlu,Sicak,Yuksek,Var,Orta,Islak,Hayir
Bulutlu,Sicak,Yuksek,Var,Buyuk,Kuru,Hayir
Bulutlu,Sicak,Yuksek,Var,Buyuk,Islak,Hayir
Bulutlu,Sicak,Yuksek,Yok,Kucuk,Kuru,Evet
Bulutlu,Sicak,Yuksek,Yok,Kucuk,Islak,Evet
Bulutlu,Sicak,Yuksek,Yok,Orta,Kuru,Evet
Bulutlu,Sicak,Yuksek,Yok,Orta,Islak,Hayir
Bulutlu,Sicak,Yuksek,Yok,Buyuk,Kuru,Evet
Bulutlu,Sicak,Yuksek,Yok,Buyuk,Islak,Hayir
Bulutlu,Soguk,Normal,Var,Kucuk,Kuru,Evet
Bulutlu,Soguk,Normal,Var,Kucuk,Islak,Hayir
Bulutlu,Soguk,Normal,Var,Orta,Kuru,Hayir
Bulutlu,Soguk,Normal,Var,Orta,Islak,Hayir
Bulutlu,Soguk,Normal,Var,Buyuk,Kuru,Hayir
Bulutlu,Soguk,Normal,Var,Buyuk,Islak,Hayir
Bulutlu,Soguk,Normal,Yok,Kucuk,Kuru,Evet
Bulutlu,Soguk,Normal,Yok,Kucuk,Islak,Evet
Bulutlu,Soguk,Normal,Yok,Orta,Kuru,Evet
Bulutlu,Soguk,Normal,Yok,Orta,Islak,Hayir
Bulutlu,Soguk,Normal,Yok,Buyuk,Kuru,Hayir
Bulutlu,Soguk,Normal,Yok,Buyuk,Islak,Hayir
Bulutlu,Soguk,Yuksek,Var,Kucuk,Kuru,Hayir
Bulutlu,Soguk,Yuksek,Var,Kucuk,Islak,Hayir
Bulutlu,Soguk,Yuksek,Var,Orta,Kuru,Hayir
Bulutlu,Soguk,Yuksek,Var,Orta,Islak,Hayir
Bulutlu,Soguk,Yuksek,Var,Buyuk,Kuru,Hayir
Bulutlu,Soguk,Yuksek,Var,Buyuk,Islak,Hayir
Bulutlu,Soguk,Yuksek,Yok,Kucuk,Kuru,Evet
Bulutlu,Soguk,Yuksek,Yok,Kucuk,Islak,Hayir
Bulutlu,Soguk,Yuksek,Yok,Orta,Kuru,Evet
Bulutlu,Soguk,Yuksek,Yok,Orta,Islak,Hayir
Bulutlu,Soguk,Yuksek,Yok,Buyuk,Kuru,Hayir
Bulutlu,Soguk,Yuksek,Yok,Buyuk,Islak,Hayir
Bulutlu,Ilik,Normal,Var,Kucuk,Kuru,Evet
Bulutlu,Ilik,Normal,Var,Kucuk,Islak,Hayir
Bulutlu,Ilik,Normal,Var,Orta,Kuru,Hayir
Bulutlu,Ilik,Normal,Var,Orta,Islak,Hayir
Bulutlu,Ilik,Normal,Var,Buyuk,Kuru,Hayir
Bulutlu,Ilik,Normal,Var,Buyuk,Islak,Hayir
Bulutlu,Ilik,Normal,Yok,Kucuk,Kuru,Evet
Bulutlu,Ilik,Normal,Yok,Kucuk,Islak,Evet
Bulutlu,Ilik,Normal,Yok,Orta,Kuru,Evet
Bulutlu,Ilik,Normal,Yok,Orta,Islak,Evet
Bulutlu,Ilik,Normal,Yok,Buyuk,Kuru,Hayir
Bulutlu,Ilik,Normal,Yok,Buyuk,Islak,Hayir
Bulutlu,Ilik,Yuksek,Var,Kucuk,Kuru,Hayir
Bulutlu,Ilik,Yuksek,Var,Kucuk,Islak,Hayir
Bulutlu,Ilik,Yuksek,Var,Orta,Kuru,Hayir
Bulutlu,Ilik,Yuksek,Var,Orta,Islak,Hayir
Bulutlu,Ilik,Yuksek,Var,Buyuk,Kuru,Hayir
Bulutlu,Ilik,Yuksek,Var,Buyuk,Islak,Hayir
Bulutlu,Ilik,Yuksek,Yok,Kucuk,Kuru,Evet
Bulutlu,Ilik,Yuksek,Yok,Kucuk,Islak,Evet
Bulutlu,Ilik,Yuksek,Yok,Orta,Kuru,Evet
Bulutlu,Ilik,Yuksek,Yok,Orta,Islak,Hayir
Bulutlu,Ilik,Yuksek,Yok,Buyuk,Kuru,Hayir
Bulutlu,Ilik,Yuksek,Yok,Buyuk,Islak,Hayir
